----- n=4 --------------------------
c_g,   c_bf,  Πs,    k_bf   
1,     2,     1,     2      
2,     2,     1,     2      
1,     1,     7,     2      
2,     2,     1,     2      
2,     2,     1,     2      
1,     1,     7,     2      
1,     1,     7,     2      
1,     1,     7,     2      
1,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
1,     1,     7,     2      
1,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
1,     1,     7,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
1,     1,     7,     2      
1,     1,     7,     2      
1,     2,     1,     2      
1,     1,     7,     2      
1,     2,     1,     2      
1,     2,     1,     2      
2,     2,     1,     2      
1,     1,     7,     2      
1,     2,     1,     2      
2,     2,     1,     2      
1,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
1,     1,     7,     2      
1,     1,     7,     2      
2,     2,     1,     2      
1,     2,     1,     2      
2,     2,     1,     2      
1,     2,     1,     2      
2,     2,     1,     2      
1,     1,     7,     2      
1,     1,     7,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
1,     1,     7,     2      
1,     2,     1,     2      
1,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
1,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
1,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
1,     1,     7,     2      
2,     2,     1,     2      
1,     1,     7,     2      
2,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
1,     1,     7,     2      
1,     2,     1,     2      
2,     2,     1,     2      
2,     2,     1,     2      
1,     2,     1,     2      
1,     2,     1,     2      
2,     2,     1,     2      
----- n=5 --------------------------
c_g,   c_bf,  Πs,    k_bf   
